sequence_id,forward,reverse,score
033c5bcad11101953978ced9066e0c9fcf58f0fcfecbff5088d739164ab40900,-199.15323749184608,-200.5308416634798,-199.84203957766292
0348240680197d18ca8e17ca0eb71daa33b0cc6109dbe69537174a569d616862,-252.4378093481064,-252.37283647060397,-252.4053229093552
03487a5b48234d9281aedc61680b54ec67cd56ec3984324c3dcbb0e76248cc5f,-257.2445126473904,-260.59827303886414,-258.92139284312725
0354c04f1993acaebb852cb40adf7c3f7d0ca00f2ebfbfdb167d3b6b4c9a84ef,-242.658018887043,-246.05129662156105,-244.354657754302
0359cb92eb5ee8431f876c0db04d498cd9fa7582598f2835735b0b49b30767c9,-236.23465614020824,-225.02960389479995,-230.6321300175041
035e2fbe966dd44c2da96378b1893b88606a1ddb046a3f85136869a7933490ad,-272.65214878320694,-266.4562332332134,-269.5541910082102
036315a5c27a3c409aaa09e6018c66b11927a147e522697782bdc30980767fa3,-74.5221547037363,-70.93371217371896,-72.72793343872763
036d93b2608b4703240497e287fa239dd304f2aee869c334e251ffc91b759669,-242.75403633527455,-237.91447781492025,-240.3342570750974
0385d686c941705760a96ce5d0e7ddefd92c67e5558fb7376a0b149edb1229f2,-203.05865186918527,-197.86873619258404,-200.46369403088465
0388f3f51a69b7c7172d68430fc5949bbaa2dcdefebf295fa7386cbf66f2702f,-258.9420042037964,-254.6167506277561,-256.77937741577625
038abd4fbcdc0dd11bc1fa4ceb47a3836a98fbe97dabe98efc8b0e149dcbde31,-234.4362076818943,-229.1708801938221,-231.8035439378582
038b0df7d0d1d5a90225e1958a32edbe45ae32a5c50ef9786c47e9a572afe699,-263.56060114502907,-260.6762663722038,-262.11843375861645
038ccb2db74d1fc91d7aaf6138ffa67028e1b8cabe69db6076a676da437e94bc,-212.4607728421688,-210.2252019047737,-211.3429873734713
03952f0067c440a72a8d4ddf6f6196b376582ae1ac7640efe232599f97d791ed,-242.4878172278404,-245.05472746491432,-243.77127234637737
0397226b656a40ecdd21a581a08516595605e454b46209204cf103f034809c6e,-248.4893174171448,-252.4149996042252,-250.45215851068497
03a3d04aad47548db3c4ce9d19a55b8db55eccee57603051e87dfa3bd65ded81,-273.1105046272278,-263.0354835987091,-268.07299411296844
03b993d5be5e3133e0494cb1d0a30a8ced96b8797007b6964c4ba3601376180c,-245.4993008077145,-249.7339142262936,-247.616607517004
03c422beabf4a02bf58b69d3edd0d90225a8cfeb6ddff29a7ae5621fdaeae594,-270.1680083870888,-278.8757316470146,-274.5218700170517
03c7bd8c124c0ac2b065d671963b4bc6f18eb21c83101680ad9773c68105a22b,-236.7014061510563,-236.99806460738185,-236.84973537921903
03cea9c85aa91ca7f6ba1feb1f4925b67d9adf18279f52a9d1e49c299834da3a,-88.54644976509735,-90.365030573681,-89.45574016938917
03d0531eb0b07970706f877aa0d3d31d03b6baa5a30dc2b64a366c93a1769d5b,-90.15655466541648,-92.18604829069228,-91.17130147805436
03d15382b73ecfde9f87b0fb51eb4578a5e03180704ba8ea620863ec672c29e3,-267.586124420166,-265.4362733066082,-266.5111988633871
03e1343f4583eb92e6a4991e60bc19bffb7f885086a2df01115da74405a87f9b,-247.19554829597476,-244.3945038318634,-245.79502606391907
03e67b6772078fb6913d14a64ac5bfbcfcb73e1d12a96ae315fd882272cb3b04,-247.39285469055176,-246.04219752550125,-246.7175261080265
03e7db3d8a16b5554a5f29e22a17bcee602f3273b1a63ae194568cbb7afba672,-253.75394868850708,-253.7163029909134,-253.73512583971024
03e9561ee4ddf886c2ecb76c592e2624f9dfb6e63b59ae94b861ff16b747d0ef,-250.43537232279775,-249.4326675236225,-249.93401992321012
03ed3fef6e10aee2a21f27ca6328d8ab434c32bed019da4ee54d28e0002ba316,-259.18795239925385,-261.5150281190872,-260.35149025917053
03f6a112c594a56fcf46cf2ba636bdb27706021eec8583618ad73d2c43f733da,-269.0055827498436,-258.1117144525051,-263.55864860117435
03fc85cb6dd59e493272ae23f02a1ab01f130b9ff2a07240d381baf6d098b3fc,-256.8576511144638,-261.9138599038124,-259.3857555091381
